Academic_Year,Institution_Type_EN,Campus_Zone_EN,Coordinates,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Certificate,Graduate Diploma,Higher Diploma,Masters,Other ????, Total 
2012-2013,Federal,Abu Dhabi,"24.466667 , 54.366669",Expat,Female,235,,,,,,,40,,275
2012-2013,Federal,Abu Dhabi,"24.466667 , 54.366669",Expat,Male,126,,10,,,,1,42,,179
2012-2013,Federal,Abu Dhabi,"24.466667 , 54.366669",Local,Female,"1,838",5,532,,,,192,280,,"2,847"
2012-2013,Federal,Abu Dhabi,"24.466667 , 54.366669",Local,Male,886,54,229,,,,193,185,,"1,547"
2012-2013,Federal,Dubai,"25.276987 , 55.296249",Expat,Female,4,,,,,,,,,4
2012-2013,Federal,Dubai,"25.276987 , 55.296249",Expat,Male,1,,,,,,,,,1
2012-2013,Federal,Dubai,"25.276987 , 55.296249",Local,Female,709,,149,,,,199,109,,"1,166"
2012-2013,Federal,Dubai,"25.276987 , 55.296249",Local,Male,316,,73,,,,201,10,,600
2012-2013,Federal,Fujairah,"25.133300 , 56.250000",Local,Female,134,,137,,,,6,,,277
2012-2013,Federal,Fujairah,"25.133300 , 56.250000",Local,Male,10,14,41,,,,1,,,66
2012-2013,Federal,Ras Al Khaimah,"25.800694 , 55.976200",Local,Female,85,,143,,,,48,15,,291
2012-2013,Federal,Ras Al Khaimah,"25.800694 , 55.976200",Local,Male,40,,35,,,,34,5,,114
2012-2013,Federal,Sharjah,"25.322327 , 55.513641",Local,Female,351,,128,,,,163,9,,651
2012-2013,Federal,Sharjah,"25.322327 , 55.513641",Local,Male,102,,58,,,,25,4,,189
2012-2013,Non-Federal,Abu Dhabi,"24.466667 , 54.366669",Expat,Female,564,1,218,,,650,,166,,"1,599"
2012-2013,Non-Federal,Abu Dhabi,"24.466667 , 54.366669",Expat,Male,386,,122,,,62,,200,,770
2012-2013,Non-Federal,Abu Dhabi,"24.466667 , 54.366669",Local,Female,476,8,228,,,84,,123,,919
2012-2013,Non-Federal,Abu Dhabi,"24.466667 , 54.366669",Local,Male,559,16,286,,,72,16,131,,"1,080"
2012-2013,Non-Federal,Ajman,"25.244000 , 55.266140",Expat,Female,382,,,,,99,,20,,501
2012-2013,Non-Federal,Ajman,"25.244000 , 55.266140",Expat,Male,291,,,,,5,,2,,298
2012-2013,Non-Federal,Ajman,"25.244000 , 55.266140",Local,Female,141,,,,,1,,10,,152
2012-2013,Non-Federal,Ajman,"25.244000 , 55.266140",Local,Male,160,,,,,,,12,,172
2012-2013,Non-Federal,Dubai,"25.276987 , 55.296249",Expat,Female,914,,20,2,,16,,406,,"1,358"
2012-2013,Non-Federal,Dubai,"25.276987 , 55.296249",Expat,Male,599,3,43,2,,9,1,476,,"1,133"
2012-2013,Non-Federal,Dubai,"25.276987 , 55.296249",Local,Female,375,1,9,5,,5,3,245,,643
2012-2013,Non-Federal,Dubai,"25.276987 , 55.296249",Local,Male,890,6,18,,,1,4,457,,"1,376"
2012-2013,Non-Federal,Fujairah,"25.133300 , 56.250000",Expat,Female,64,,,,,186,,,,250
2012-2013,Non-Federal,Fujairah,"25.133300 , 56.250000",Expat,Male,27,,,,,,,,,27
2012-2013,Non-Federal,Fujairah,"25.133300 , 56.250000",Local,Female,148,,4,,,1,,,,153
2012-2013,Non-Federal,Fujairah,"25.133300 , 56.250000",Local,Male,100,,,,,,,,,100
2012-2013,Non-Federal,Ras Al Khaimah,"25.800694 , 55.976200",Expat,Female,155,,,,,,,6,,161
2012-2013,Non-Federal,Ras Al Khaimah,"25.800694 , 55.976200",Expat,Male,78,,,,,,,2,,80
2012-2013,Non-Federal,Ras Al Khaimah,"25.800694 , 55.976200",Local,Female,86,,,,,,,3,,89
2012-2013,Non-Federal,Ras Al Khaimah,"25.800694 , 55.976200",Local,Male,29,,,,,,,,,29
2012-2013,Non-Federal,Sharjah,"25.322327 , 55.513641",Expat,Female,894,,2,,,,5,63,,964
2012-2013,Non-Federal,Sharjah,"25.322327 , 55.513641",Expat,Male,744,,2,,,,,88,,834
2012-2013,Non-Federal,Sharjah,"25.322327 , 55.513641",Local,Female,611,,51,,,,,92,,754
2012-2013,Non-Federal,Sharjah,"25.322327 , 55.513641",Local,Male,286,,14,,,,,160,,460
2013-2014,Federal,Abu Dhabi,"24.466667 , 54.366669",Expat,Female,249,,,11,,,,82,,342
2013-2014,Federal,Abu Dhabi,"24.466667 , 54.366669",Expat,Male,164,,3,2,,,,73,,242
2013-2014,Federal,Abu Dhabi,"24.466667 , 54.366669",Local,Female,"1,848",,92,4,,,182,310,,"2,436"
2013-2014,Federal,Abu Dhabi,"24.466667 , 54.366669",Local,Male,948,,136,,,,189,177,,"1,450"
2013-2014,Federal,Dubai,"25.276987 , 55.296249",Expat,Female,8,,,,,,,4,,12
2013-2014,Federal,Dubai,"25.276987 , 55.296249",Expat,Male,1,,,,,,,5,,6
2013-2014,Federal,Dubai,"25.276987 , 55.296249",Local,Female,826,,14,,,,79,30,,949
2013-2014,Federal,Dubai,"25.276987 , 55.296249",Local,Male,438,,14,,,,100,38,,590
2013-2014,Federal,Fujairah,"25.133300 , 56.250000",Local,Female,158,,20,,,,10,6,,194
2013-2014,Federal,Fujairah,"25.133300 , 56.250000",Local,Male,24,,6,,,,,1,,31
2013-2014,Federal,Ras Al Khaimah,"25.800694 , 55.976200",Local,Female,116,,11,,,,18,8,,153
2013-2014,Federal,Ras Al Khaimah,"25.800694 , 55.976200",Local,Male,67,,9,,,,10,1,,87
2013-2014,Federal,Sharjah,"25.322327 , 55.513641",Local,Female,354,,10,,,,45,2,,411
