"business_name","business_name_arabic","registration_category_name","license_type_name","license_issuing_authority_name","license_number","fax","phone","website","address_line1","address_line2","street","area","city_name","country_name","emirate_name","p_o_box"
"Leopards Worldwide Express LLC","ليوباردز وورلد وايد اكسبريس ش.ذ.م.م","Dubai based companies","Commercial","","","","","","","","","","","","",""
"ARMAN EXPRESS (BRANCH OF GATEWAY LINE LLC)","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"BLUE BIRD EXPRESS COURIER & CARGO SERVICES LLC","بلوبيرد اكسبريس كورير اند كارجو سرفيسيس ش ذ م م","Dubai based companies","Commercial","","","","","","OFFICE # 12 IBRAHIM SAEED AHMED LOOTAH UM RAMOOL","UMRAMOOL DUBAI","","","Dubai","United Arab Emirates","DUBAI","35549"
"KARA EXPRESS COURIER AND CARGO","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"SCHENKER LLC","","Dubai based companies","Commercial","","","","","","ALMASAOOD TOWER","AIRPORT ROAD","","","Dubai","United Arab Emirates","DUBAI","62532"
"HAWK FREIGHT SERVICES LLC","","Dubai based companies","Commercial","","","","","","W28 DUBAI AIRPORT FREEZONE","NEXT TO TERMINAL 2 AIRPORT","","AL TWAR","Dubai","United Arab Emirates","DUBAI","54438"
"AL MATEEN EXPRESS","","Dubai based companies","Commercial","","","","","","AL MUTANA STREET","MANSOUR AHMED FAQIHI & SON","","","Dubai","United Arab Emirates","DUBAI","15491"
"ZAJEL COURIER  SERVICES","","Dubai based companies","Commercial","","","","","","DUBAI","DUBAI","","","Dubai","United Arab Emirates","DUBAI","97190"
"ZAJEL COURIER  SERVICES","","Dubai based companies","Commercial","","","","","","DUBAI","DUBAI","","","Dubai","United Arab Emirates","DUBAI","97190"
"UNITED EMIRATES AGENCIES CO ( DUBAI BRANCH)","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"MYCO SHIPPING & CLEARING","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"UPS GULF LLC (DUBAI BRANCH)","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"SMSA EXPRESS TRANPORTATION LLC","","Dubai based companies","Commercial","","725116","971-4-2351166","971-4-6069005","","dxb","dxb","","","Dubai","United Arab Emirates","DUBAI","36670"
"United Parcel Service (UAE)LLC","","Dubai based companies","Commercial","","","","","","OFFICE NO E10","DAFZA","","","Dubai","United Arab Emirates","DUBAI","26026"
"PRIME EXPRESS INTERNATIONAL COURIERS (L.L.C.)","","Dubai based companies","Commercial","","","","","","AS2002/102 BRIDGE OFFICE,  EMC","FREIGHT GATE, DUBAI CARGO VILLAGE","","","Dubai","United Arab Emirates","DUBAI","62025"
"Indian Courier Service Intl.L.L.C","","Dubai based companies","Commercial","","","","","","#15, Raymond Show Room Bldg","Ayal Nasr , Deira","","","Dubai","United Arab Emirates","Not Available","57745"
"Breeze Transport LLC","","Dubai based companies","Commercial","","","","","http://www.breezetransport.com","International City, France Cluster, P23, off 03","Warsan","","","Dubai","United Arab Emirates","DUBAI","116586"
"SINOTRANS GULF SHIPPING LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"GULF WORLDWIDE EXPRESS -COURIER","","Dubai based companies","Commercial","","","","","","DUBAI","DUBAI","","","Dubai","United Arab Emirates","DUBAI","8523"
"COMPEX INTERNATIONAL LOGISTICS LLC","","Dubai based companies","Commercial","","","","","","P.O.BOX 238238 DUBAI U.A.E","P.O.BOX 238238 DUBAI U.A.E","","","Dubai","United Arab Emirates","DUBAI","238238"
"SMART MAIL SERVICE LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"MASS ALLIED FREIGHTERS L.L.C","","Dubai based companies","Commercial","","","","","","Grosvenor Business Towers","Office No. 1506","Barsha Heights","TECOM","Dubai","United Arab Emirates","DUBAI","6641"
"Aramex Emirates LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"RONA CARGO","","Emirates based companies","Commercial","","","","","www.ronacargo.com","Rolla square","sharjah","","","Sharjah","United Arab Emirates","SHARJAH","20579"
"P D E EXPRESS SHIPPING SERVICES L.L.C","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"D T D C EUROSTAR COURIER & CARGO LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"TCS EXPRESS WORLD WIDE LLC","","Dubai based companies","Commercial","","","","","","UMM RAMOOL","RASHIDIYA","","","Dubai","United Arab Emirates","Not Available","29575"
"First Flight Couriers (Middle East) (L.L.C)","","Dubai based companies","Commercial","","","","","http://www.firstfllightme.com","","","","","","","",""
"KMK EXPRESS CARGO COURIER AND LOGISTIC LLC BR.","","Dubai based companies","Commercial","","","","","","971-4-2828303","971-4-2828303","","","Dubai","United Arab Emirates","DUBAI","128228"
"COMPEX INTERNATIONAL CARGO LLC","","Dubai based companies","Commercial","","","","","www.compexlogistics.com","AL QUSAIS 1","DAMASCUS STREET","","","Dubai","United Arab Emirates","DUBAI","238238"
"MRC SHIPPING & LOGISTICS L.L.C","","Dubai based companies","Commercial","","","","","","KARAMA","BURDUBAI","","","Dubai","United Arab Emirates","DUBAI","118046"
"MRC SHIPPING & LOGISTICS L.L.C","","Dubai based companies","Commercial","","","","","","KARAMA","BURDUBAI","","","Dubai","United Arab Emirates","DUBAI","118046"
"ELITE AIRBORNE EXPRESS (L.L.C.)","","Dubai based companies","Commercial","","","","","","AL QUASIS INDUSTRIAL AREA","AL QUASIS","","","Dubai","United Arab Emirates","DUBAI","111043"
"HST LOGISTICS LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"KUEHNE+NAGEL L.L.C","","Dubai based companies","Commercial","","","","","","UAE ENTERPRSIES,DIERA ,PORT SAEED","DUBAI","","","Dubai","United Arab Emirates","DUBAI","22577"
"CONTINENTAL COURIER SERVICES LLC","","Dubai based companies","Commercial","","","","","","UMM RAMOOL","NEAR MAX GARAGE","","","Dubai","United Arab Emirates","Not Available","34311"
"TCS EXPRESS WORLD WIDE LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"Modernline Distribution LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
"RAJAB CARGO SERVICES LLC","","Dubai based companies","Commercial","","","","","","","","","","","","",""
