"facility_name","business_name","customs_location_name","address_line1","address_line2","address_line3","street","area","city_name","country_name","emirate_name","plot_no","p_o_box","location","first_name","middle_name","last_name","phone1","fax"
"WAREHOUSE PHASE 2","ICC LLC FZC","","WAREHOUSE PHASE 2","FUJAIRAH FREE ZONE","","","","Al Fujayrah","United Arab Emirates","FUJAIRAH","2","4979","","FATEN","","AL MASSRI","",""
"Amjad Trading Warehouse","AMJAD TRADING L.L.C.","","Deira Tower","Deira Dubai","","Baniyas Square","Deira","Dubai","United Arab Emirates","DUBAI","2604","4657","","Mohammed Reza","Yousef","Kheradmand","",""
"Amjad Trading Warehouse","AMJAD TRADING L.L.C.","","Deira Tower","Deira Dubai","Nasser Square","Baniyas Street","Deira","Dubai","United Arab Emirates","DUBAI","2604","4657","","Mohammed Reza","Yousef","Kheradmand","",""
"Amjad Trading Warehouse","AMJAD TRADING L.L.C.","","deira tower","Deira Dubai","Nasser Square","Baniyas Street","Deira","Dubai","United Arab Emirates","DUBAI","2604","4657","","Mohammed Reza","Yousef","Kheradmand","",""
"Everstyle trading L.L.C","Everstyle Trading L.L.C","","Industrial area","Al Quoz","","","","Dubai","United Arab Emirates","DUBAI","380","103869","","harish","motilal","wanchoo","",""
"XADO-Free Zone","XADO Trading FZC","","P.O.Box 16080, RAK Free Trade Zone","Ras Al Khaimah, UAE","","","","Ras al Khaimah","United Arab Emirates","RAS AL KHAIMA","-9","16080","","Vitaliy","","Volovyk","",""
"Swift Freight LLC","Swift Freight International LLC","","Swift Freight LLC"," Umm Rambool , Near Rashdiya","","","","Dubai","United Arab Emirates","DUBAI","215","58526","","Warren","Victor","Erfmann","",""
"NASEEM AL BARARI GEN. TRADG. LLC","Naseem al barari general trading L.L.C.","","","","","","","","","",null,"","","Mahmoud","","Asmar","",""
"RAPID SHIPPING AND LOGISTICS LLC","RAPID SHIPPING AND LOGISTICS LLC","","BA01, R/A08","JEBEL ALI FREEZONE","","","","Jebel Ali","United Arab Emirates","SHARJAH","1","21313","","BIPIN","KAMACHANDRA","KURUP","",""
"AFRICAN LIGHT GENERAL TRADING","AFRICAN LIGHT GENERAL TRADING (L.L.C.)","","ROAD NO. 2","QUASIS","","DOHA STREET","OPP. ZULEKHA HOSPITAL","Dubai","United Arab Emirates","DUBAI","2","234140","","HAMID AHAMED","","KANNEH","",""
"SAEED MOHAMMED AL GHANDI AND SONS AL QUOZE YARD","SAEED MOHD AL GHANDI & SONS","","SMAG WAREHOUSE AL QOUZE INDUSTRIAL AREA 4","SMAG WAREHOUSE AL QUOZ INDUSTRIAL AREA 4","NEAR GRAND CITY MALL","AL QU","AL QUOZ INDUSTRIAL AREA 4","Dubai","United Arab Emirates","DUBAI","585","34034","","Nidal","Habib","Salem","",""
"AL TAYER TRENDS","Al Tayer Trends (LLC)","","ALQUOZ INDUSTRIAL AREA","IND AREA 3","","","","Dubai","United Arab Emirates","DUBAI","75","2623","","SAJJAD","","BUTT","",""
"EXPRESS LOGISTICS CENTRE","DHL WORLDWIDE EXPRESS","","AL TOWAR","TERMINAL 2","","","","Dubai","United Arab Emirates","DUBAI",null,"6252","AL TOWAR","SAJAN THOMAS",".",".","",""
"NATIONAL TRADERS WAREHOUSE","NATIONAL TRADERS LLC","","Al-Aweer","Dubai","","Al-Aweer Road","","Dubai","United Arab Emirates","DUBAI",null,"1295","Al-Aweer, Warehouse Nos:D,E,F,G,H,I,J & L","Sohair Patni",".",".","",""
"customs wareehouse","KOPRULU GENERAL TRADING","","hamriya port","b2","","","","Dubai","United Arab Emirates","DUBAI",null,"21244","customs wahre house","asaad",".",".","",""
"AL FUTTAIM EXEL LLC","AL FUTTAIM EXEL LLC","","JABEL ALI","61450","","JABEL ALI","","Dubai","United Arab Emirates","DUBAI",null,"61450","JABEL ALI & CARGO VILLAGE","SIJU MOHD",".",".","",""
"customs bounded warehouse","Al Futtaim Watches & Jewellery","","Um Ramool","Opposit DDF warehoue","","","","Dubai","United Arab Emirates","DUBAI",null,"10783","Um RamoolOpposit DDF warehouse","Raju",".",".","",""
"MESBAH AL DOJA ELECTRONICS TRADING","BIODERMA GENERAL TRADING LLC","","WAREHOUSE NO. 2","AL KHABESI AREA DEIRA","","","","Dubai","United Arab Emirates","DUBAI",null,"5124","NEAR GARGASH MERCEDEZ SHOWROOM ST.NO.29 AL KHABESI AREA IN FRONT OF BLUE DIAMOND FRT YELLOW WHSE","HASSAN DUKMAKE",".",".","",""
"ARABIAN AUTOMOBILES CO LLC","ARABIAN AUTOMOBILES CO.LLC","","DIC LOGISTICS CENTRE","DUBAI INDUSTRIAL CITY","","","","Dubai","United Arab Emirates","DUBAI",null,"2128","DUBAI INDUSTRIAL CITY","ROY WILLIAMS GEORGE",".",".","",""
"National Trading and Dev. Hamariya","NATIONAL TRADING & DEVELOPING EST.","","customs warehouse","Hamariya","","","","Dubai","United Arab Emirates","DUBAI",null,"3139","HAMARIYA, DUBAI","EBADULLAH AHMADI",".",".","",""
"EAST AUTO SPARE PARTS& GENERAL TRADING CO","EAST AUTO SPARE PARTS& GENERAL TRADING CO","","Hamriya Port","Dubai","","Hamriya Port","","Dubai","United Arab Emirates","DUBAI",null,"91614","Near Hamriya Port second gate.","NOOR DAKROUK",".",".","",""
"WAREHOUSE","ORSUNK METALS FZ LLC","","AL JAZEERA","RAS AL KHAIMAH","","","","Ras al Khaimah","United Arab Emirates","RAS AL KHAIMA",null,"31291","RAK FZE","Mr ANAD",".",".","",""
"RA07AC05","VBH Trading LLC","","WH RA07AC05 Light Industrial Unit","r/a 7 Jebel Ali Free Zone","","","","Jebel Ali","United Arab Emirates","DUBAI",null,"17994","r/a7 JAFZ opposite Petrochem","Naseer Kanacheri",".",".","",""
"Warehouse 3","Al Kafaa Trading Company","","9th street","91 Section","","","","Ad Dammam","Saudi Arabia","Not Available",null,"7170/31462","King Fahed Road","Mirza",".",".","",""
"Inter Taym","Inter Taym","","Building Material","Doha","","","","Doha","Saudi Arabia","Not Available",null,"32086","Doha","Arif Ahmed",".",".","",""
"Royal Hygiene","Royal Hygiene","","DIP","35723","","","","Dubai","United Arab Emirates","DUBAI",null,"35723","DIP","George",".",".","",""
"costum waerhouse","RONICE PLUS TRADING LLC","","alqusais dubai","alqusais dubai whono13","","","","Dubai","United Arab Emirates","DUBAI",null,"54779","DUBAI ALQUSAIS PLOTNO243 WHNO13","MOHMME ELGOHARY",".",".","",""
"JZX TRADING LLC","JZX TRADING LLC","","DUBAI INVESTMENT PARK","DUBAI UAE","","","","Dubai","United Arab Emirates","DUBAI",null,"299156","DUBAI INVESTMENT PARK","LI QINGFENG",".",".","",""
"OILFIELD SUPPLY CENTER LTD","Oilfields Supply Center Ltd","","P.O.BOX.1518 DUBAI","P.O.BOX.15618 DUBAI","","","","Dubai","United Arab Emirates","DUBAI",null,"1518 DUBAI","TECHNOPARK","MUNTHER ALI",".",".","971-4-8054328","971-4-8839771"
"Kodak (Near East) Inc.","Kodak (Near East) Inc.","","Near Safa Park","Off Sheikh Zayed Road","","","","Dubai","United Arab Emirates","DUBAI",null,"11460","Next to Gulf News and Al Bayan Publishing","Madhava Das V.K.",".",".","",""
"Carestream Health (Near East) Ltd","Carestream Health Near East LTD","","215149","Community 343","","55-58B","","Dubai","United Arab Emirates","DUBAI",null,"215149","Adjacent to Safa Park","Riyaz Moloo",".",".","",""
"KOOHIJI L.L.C","KIFAF GENERAL TRADING L.L.C","","2nd Interchange","Opp Europe Car - Aluqoz","","Alquoz","","Dubai","United Arab Emirates","DUBAI",null,"51304","Koohiji Warehouse2nd InterchangeOpp Europecar Behind Unimix cement Factory,AlquozDubai","Mohammed Sami",".",".","",""
"ARAB  BUSINESS MACHINES LTS","ARAB BUSINESS MACHINES LTD","","FREIGHTWORKS","DUBAI CARGO VILLAGE","","","","Dubai","United Arab Emirates","DUBAI",null,"5514","DUBAI CARGO VILLAGE","DERVIN VAZ",".",".","",""
"DANZAS AEI EMIRATES LLC","Danzas AEI Emirates LLC","","R/A 13","JEBEL ALI","","","","Jebel Ali","United Arab Emirates","DUBAI",null,"2623","R/A 13, NEXT TO SHARRP ME","DAVE HARRIS",".",".","971-4-8811610","971-4-8871636"
"Al WAHDANIA GENERAL TRADING","AL WAHDANIA GENERAL TRADING CO.","","DUBAI HAMRIYA PORT DFSA","D F S A HAMRIYA  DUBAI","","HAMRIYA PORT (DFSA)","","Dubai","United Arab Emirates","DUBAI",null,"29011 DXB","DFSA HAMRIYA PORT DUBAI","ABID ALI",".",".","",""
"Jumbo Electronics co. Ltd (LLC)","JUMBO ELECTRONICS CO LTD (L.L.C)","","Near makhtoum bridge Karama","behind splash showroom","","","","Dubai","United Arab Emirates","DUBAI",null,"3426","Near makhtoum bridge behind splash showroom","Chandru Mirchandani",".",".","",""
"JBA_Warehouse","Shipping Trading & Lighterage Co.(STALCO) L.L.C","","Jebel Ali Freezone","STALCO","","","","Jebel Ali","United Arab Emirates","DUBAI",null,"464","XA1, Jebel Ali Freezone","Mr.Bala",".",".","",""
"ALSADAH MEDICINE & MEDICAL EQUIPEMENT PHRMACY STORE L.L.C","ALSADAH MEDICINE & MEDICAL","","STORE No. 2","ALQUSAIS","","","","Dubai","United Arab Emirates","DUBAI","2","7773","","azzam","","AL.NASER","",""
"NESTLE DUBAI MANUFACTURING LLC","NESTLE DUBAI MANUFACTURING","","NESTLE DUBAI MANUFACTURING LLC","TECHNOPARK","JEBEL ALI","","","Jebel Ali","United Arab Emirates","DUBAI","20102","119857","","KISHORE","","RAM","",""
"Build UP Exhibition Fixtures LLC","Build UP Exhibition Fixtures LLC","","Warehouse No. 13","Al Quoz Industrial Area","","","","Dubai","United Arab Emirates","DUBAI","3640423","49800","","Fady","","Shehata","",""
"REFRIGERATED STORAGE","PAN EMIRATES FOODS DISTRIBUTION LLC","","mzw-z1/sbw-ann-427","ABU DHABI","","","","Abu Dhabi","United Arab Emirates","ABU DHABI","427","44829","","AKRAM EYAD","","KAMAL","",""
"BAGADER TRADING LLC","BAGADER TRADING LLC","","","","","","","","","",null,"","","YAMEN","MOHAMMED","BAGADER","",""
"PUBLIC CUSTOMS WAREHOUSE","GLOBAL SHIPPING & LOGISTICS LLC","","DUBAI INVESTMENT PARK 1","DUBAI","","","","Dubai","United Arab Emirates","DUBAI","5981092","2022","","GEORGE","","OOMEN","",""
"ROLMAN WORLD TRADING LLC","DIBBA COAST GENERAL TRADING LLC","","","","","","","","","",null,"","","FAISAL","","ABBASI","",""
"SKY WORLD SHIPPING LLC","SKY WORLD SHIPPING LLC","","DP WORLD AUTHORITY","JEBEL ALI","JEBEL ALI","C F S","JEBEL ALI","Dubai","United Arab Emirates","DUBAI","9999","44103","","NILESHKUMAR","GHANSHYAMBHAI","THAKKAR","",""
"BUNIYAD HAIR CARE LLC","BUNIYAD HAIRCARE L.L.C","","WH#3, BLOCK A,","AL QOUZ IND. AREA 3","DUBAI","AL QO","AL QOUZ","Dubai","United Arab Emirates","DUBAI","3","50591","","ABDULLA","","KOORI","",""
