Year,Month,Center Code,Center Name Arb,Center Name Eng,Center Type Arb,Center Type Eng,Bill Type Arb,Bill Type Eng,Section Code,Section Desc Arb,Section Desc Eng,Chapter Code,Chapter Desc Arb,Chaoter Desc Eng,Amount,Weight Kg
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,01,حيوانات حية ومنتجات المملكة الحيوانية,LIVE ANIMALS AND THEIR PRODUCTS,04,"البان ومنتجاتها,بيض, عسل, منتجات حيوانية","DAIRY PRODUCE, HONEY _ EDIBLE PRODUCTS OF ANIMALS","50,985",84
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,06,"اشجار ونباتات حية,بصلات وجذورها,ازهار واغصان للزين","LIVE TREES, PLANTS AND THEIR PARTS","1,187",4
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,08,فواكه وقشور حمضيات وبطيخ وشمام,"EDIBLE FRUITS, NUTS,PEEL OF CITRUS FRUIT _ MELONS",249,15
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,09,"بن,شاي,مته,بهارات","COFFEE, TEA, MATE AND SPICES","179,760",986
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,10,حبوب,CEREALS,"1,047",6
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,11,منتجات مطاحن; شعير; نشاء; دابوق القمح,PRODUCTS OF THE MILLING INDUSTRY,"2,015",10
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,12,"بذور واتمار زيتية,حبوب ونباتات للصناعات,قش وعلف","OIL SEEDS,INDUSTRIAL OR MEDICINAL PLANTS _ FODDER","71,792",597
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,02,منتجات نباتية,VEGETABLE PRODUCTS,13,"صمغ اللك, خلاصات من عصارات نباتية","LAC; GUMS, RESINS,VEGETABLE SAPS AND EXTRACTS","2,351",3
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,03,شحوم ودهون وزيوت حيوانية او نباتية,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",15,"شحوم وزيوت حيوانية ونباتيةومنتجاتها,دهون,شموع","ANIMAL OR VEGETABLE FATS,OILS AND WAXES","6,385",55
2021,January,5,المنطقة التجارية,LOGISTICS PARK,جو,AIR,إستيراد,Import,04,"منتجات الاغدية ;مشروبات,سوائل كحوليةوتبغ","FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",17,سكر ومصنوعات سكرية,SUGARS AND SUGAR CONFECTIONERY,"12,569",30
